Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,SUV,7,15.0,20.0,17.0,4,no
2,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,SUV,7,17.0,22.0,19.0,5,no
4,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7,16.0,24.0,19.0,5,no
6,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7,18.0,26.0,21.0,6,yes
7,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7,17.0,26.0,20.0,6,yes
8,ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7,18.0,27.0,21.0,6,yes
14,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
15,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6,20.0,28.0,23.0,7,yes
18,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,small car,6,10.0,16.0,12.0,0,no
19,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,small car,6,11.0,18.0,13.0,1,no
22,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,small car,6,10.0,16.0,12.0,0,no
23,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,small car,6,11.0,17.0,13.0,1,no
26,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,small car,6,12.0,19.0,15.0,3,no
27,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,small car,6,13.0,20.0,15.0,3,no
28,AUDI A3,2.0,4,Man-6,2WD,Gasoline,station wagon,7,21.0,29.0,24.0,7,yes
29,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7,22.0,29.0,25.0,7,yes
33,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,station wagon,6,18.0,25.0,21.0,6,no
34,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,small car,7,21.0,30.0,24.0,7,yes
39,AUDI A4,3.1,6,Man-6,4WD,Gasoline,small car,6,15.0,25.0,19.0,5,no
40,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
41,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,small car,6,18.0,27.0,21.0,6,no
44,AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,station wagon,6,15.0,25.0,19.0,5,no
45,AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6,17.0,25.0,20.0,6,no
47,AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
50,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6,17.0,25.0,20.0,6,no
51,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6,18.0,27.0,21.0,6,no
53,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6,16.0,23.0,18.0,5,no
55,AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6,17.0,25.0,20.0,6,no
57,AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6,16.0,23.0,18.0,5,no
59,AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,large car,6,16.0,23.0,18.0,5,no
61,AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,large car,6,13.0,19.0,15.0,3,no
63,AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
65,AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6,12.0,17.0,14.0,2,no
68,AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,small car,6,13.0,19.0,15.0,3,no
69,AUDI R8,4.2,8,Man-6,4WD,Gasoline,small car,6,13.0,20.0,15.0,3,no
71,AUDI RS4,4.2,8,Man-6,4WD,Gasoline,small car,6,13.0,20.0,15.0,3,no
73,AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6,12.0,19.0,14.0,2,no
76,AUDI S4,4.2,8,Man-6,4WD,Gasoline,small car,6,13.0,20.0,15.0,3,no
77,AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,small car,6,14.0,21.0,16.0,4,no
80,AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,station wagon,6,13.0,20.0,15.0,3,no
81,AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,station wagon,6,14.0,21.0,16.0,4,no
84,AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6,13.0,19.0,15.0,3,no
85,AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,small car,6,14.0,21.0,16.0,4,no
87,AUDI S5,4.2,8,Man-6,4WD,Gasoline,small car,6,14.0,21.0,16.0,4,no
89,AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6,14.0,19.0,16.0,4,no
91,AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6,13.0,19.0,15.0,3,no
92,AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,small car,7,23.0,31.0,26.0,8,yes
96,AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
97,AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
98,AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,small car,7,22.0,29.0,25.0,7,yes
102,AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
103,AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
106,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,large car,6,9.0,15.0,11.0,0,no
107,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,midsize car,6,10.0,15.0,11.0,0,no
109,BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,small car,6,9.0,15.0,11.0,0,no
111,BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,midsize car,6,10.0,17.0,12.0,0,no
113,BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,small car,6,10.0,17.0,13.0,1,no
115,BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,small car,6,10.0,17.0,12.0,0,no
116,BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes
117,BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7,yes
118,BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,7,20.0,30.0,24.0,7,yes
119,BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,7,23.0,31.0,25.0,7,yes
124,BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,9.5,19.0,29.0,22.0,6,yes
125,BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes
126,BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7,19.0,29.0,22.0,6,yes
127,BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,7,20.0,30.0,24.0,7,yes
132,BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7,yes
133,BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
134,BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,7,20.0,27.0,23.0,7,yes
138,BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes
139,BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7,yes
140,BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,7,20.0,30.0,24.0,7,yes
141,BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,7,23.0,31.0,25.0,7,yes
146,BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,station wagon,7,19.0,29.0,22.0,6,yes
148,BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7,yes
149,BMW 328xi,3.0,6,Man-6,4WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
150,BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,7,20.0,27.0,23.0,7,yes
154,BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,station wagon,7,19.0,28.0,22.0,6,yes
155,BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,station wagon,7,20.0,27.0,23.0,7,yes
160,BMW 335ci,3.0,6,Man-6,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
161,BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,small car,6,20.0,28.0,23.0,7,yes
164,BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
165,BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,6,20.0,28.0,23.0,7,yes
168,BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,small car,6,18.0,27.0,21.0,6,no
