Unnamed: 0,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
1,ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,small SUV,3,20.0,28.0,23.0,5,No
3,ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,3,19.0,27.0,22.0,4,No
4,ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3,23.0,33.0,27.0,6,No
6,ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3,20.0,32.0,24.0,5,No
8,ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3,21.0,30.0,24.0,5,No
10,ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3,20.0,29.0,23.0,5,No
12,ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3,20.0,30.0,23.0,5,No
14,ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,small car,1,24.0,34.0,28.0,6,No
17,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,midsize car,3,17.0,24.0,20.0,4,No
18,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,midsize car,3,17.0,24.0,20.0,4,No
22,AUDI A3,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7,24.0,31.0,27.0,6,No
24,AUDI A3,2.0,4,AMS-7,2WD,Gasoline,CA,small car,7,26.0,35.0,29.0,6,No
26,AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7,22.0,30.0,25.0,5,No
28,AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,CA,small car,7,25.0,33.0,28.0,6,No
30,AUDI A4,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5,24.0,34.0,27.0,6,No
32,AUDI A4,2.0,4,Man-6,4WD,Gasoline,CA,small car,3,24.0,33.0,27.0,6,No
